FechaParticipacion;¿Con qué finalidad se dirige habitualmente a la Hemeroteca Municipal?;¿Con qué frecuencia acude a la Hemeroteca Municipal?;¿Ha utilizado el servicio de consulta en sala?;Por favor, valore de 0 a 10 su grado de satisfacción con el servicio de consulta en sala.;¿Ha utilizado el servicio de reprografía?;Satisfacción general con el servicio de reprografía;¿Ha participado en alguna actividad organizada por la Hemeroteca Municipal (visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;Satisfacción con las actividades culturales;Servicio de información general y especializada;Uso de la red wifi;Hemerotecas digitales y recursos en línea;Acceso a plataformas de prensa (ORBYT, KIOSCO Y MÁS, etc.);Servicio de información general y especializada2;¿Qué fondos son los que más consulta en la Hemeroteca Municipal de Madrid?;¿Conoce la página web de la Hemeroteca Municipal?;La actualización de la información y los contenidos;La facilidad de la búsqueda en el catálogo;La facilidad de localización de obras digitalizadas;Tiempo de descarga de los documentos digitalizados;El edificio y las instalaciones;El horario de apertura;La información general y especializada recibida;El trato y la atención recibidos;¿Cuál es su valoración general de la Hemeroteca Municipal y sus servicios? Valore su satisfacción de 0 a 10.;¿En cuál de los siguientes grupos de edad se encuentra usted?;De manera global, el servicio prestado por la Hemeroteca Municipal ha sido:
2022-10-27 10:37:17. 0;Otros;Ocasionalmente;Sí;10;Sí;10;No;;Sí;No;No;No;10;Publicaciones periódicas siglo XX;No;;;;;7;7;10;10;10;Más de 65 años;Mejor de lo que esperaba
2022-10-28 0:32:27. 0;Interés personal;Varias veces al año;Sí;7;Sí;7;No;;Sí;No;No;No;8;Publicaciones periódicas siglo XIX;No;;;;;7;8;7;8;8;Más de 65 años;Igual de lo que esperaba
2022-10-28 9:51:45. 0;Interés profesional;Ocasionalmente;Sí;9;Sí;10;Sí;7;Sí;No;Sí;Sí;10;Publicaciones periódicas siglo XX;Sí;8;6;7;9;9;9;10;10;9;De 45 a 64 años;Mejor de lo que esperaba
2022-10-28 11:49:22. 0;Interés profesional;Ocasionalmente;Sí;8;No;;No;;No;No;No;No;NS/NC;"Publicaciones periódicas siglo XX;Prensa diaria actual";No;;;;;8;8;8;8;8;Más de 65 años;Mejor de lo que esperaba
2022-10-31 10:46:15. 0;Investigación y estudio;Ocasionalmente;Sí;10;Sí;7;No;;Sí;No;Sí;No;9;Publicaciones periódicas siglo XIX;Sí;7;6;7;3;7;7;9;10;8;De 45 a 64 años;Igual de lo que esperaba
2022-10-31 17:20:52. 0;Investigación y estudio;Varias veces al año;Sí;10;No;;Sí;8;No;Sí;Sí;No;NS/NC;Publicaciones periódicas siglo XX;Sí;No sabe, no contesta;8;7;No sabe, no contesta;10;10;9;9;10;De 18 a 29 años;Igual de lo que esperaba
2022-11-5 17:53:32. 0;Investigación y estudio;Ocasionalmente;Sí;7;No;;No;;Sí;No;Sí;Sí;7;Publicaciones periódicas siglo XX;No;;;;;7;7;7;7;7;Más de 65 años;Mejor de lo que esperaba
2022-11-9 19:3:20. 0;Investigación y estudio;Varias veces al año;Sí;10;No;;No;;Sí;No;Sí;No;10;"Publicaciones periódicas siglo XX;Prensa diaria actual";No;;;;;9;7;9;9;10;Más de 65 años;Mejor de lo que esperaba
2022-11-10 18:21:53. 0;Interés personal;Ocasionalmente;Sí;10;No;;No;;Sí;No;Sí;Sí;NS/NC;Publicaciones periódicas siglo XX;Sí;8;6;6;8;10;8;8;10;8;Más de 65 años;Mejor de lo que esperaba
2022-11-18 12:49:25. 0;Investigación y estudio;Varias veces al año;Sí;10;Sí;10;No;;Sí;Sí;Sí;Sí;10;"Publicaciones periódicas siglo XIX;Publicaciones periódicas siglo XX;Prensa diaria actual";Sí;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;No sabe, no contesta;10;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-11-20 19:20:5. 0;Investigación y estudio;Varias veces al año;No;;No;;Sí;7;Sí;No;No;No;5;Publicaciones periódicas siglo XX;Sí;5;3;3;5;7;7;5;3;6;De 45 a 64 años;No contesta
2022-10-18 12:18:00. 0;Investigación y estudio;Ocasionalmente;Si;10;Si;10;No;;;;;;;Publicaciones periódicas siglo XIX;NO;;;;;10;10;7;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-22 13:36:00. 0;Investigación y estudio;Varias veces al año;Si;9;No;;No;;;;Si;;;Publicaciones periódicas ss. XX-XXI;Si;9;9;7;7;7;9;8;9;9;De 45 a 64 años;Igual de lo que esperaba
2022-10-24 15:10:00. 0;Investigación y estudio;Varias veces al año;Si;10;No;;No;;Si;;;;10;Publicaciones periódicas ss. XX-XXI;Si;10;10;10;10;10;10;10;10;8;De 30 a 44 años;Igual de lo que esperaba
2022-10-24 15:18:00. 0;Investigación y estudio;Ocasionalmente;Si;10;No;;No;;Si;;Si;No;10;Publicaciones periódicas ss. XX-XXI;no;;;;;10;10;10;10;10;De 45 a 64 años;
2022-10-26 11:45:00. 0;Investigación y estudio;Ocasionalmente;Si;10;No;;No;;;;;;;Publicaciones periódicas ss. XX-XXI;Si;10;10;10;10;10;10;10;10;10;De 30 a 44 años;
2022-10-26 18:26:00. 0;Investigación y estudio;Ocasionalmente;Si;10;No;;No;;Si;No;Si;No;9;Publicaciones periódicas ss. XX-XXI;Si;7;9;6;9;10;10;10;10;10;De 30 a 44 años;Mejor de lo que esperaba
2022-10-27 12:52:00. 0;Investigación y estudio;Ocasionalmente;Si;10;No;;Si;10;Si;Si;Si;No;8;Publicaciones periódicas s.XIX. Publicaciones periódicas ss. XX y XXI;Si;9;8;7;10;10;10;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-27 12:53:00. 0;Investigación y estudio;Una vez al año;Si;7,5;No;;No;;No;Si;Si;Si;;Publicaciones periódicas ss.XX-XXI;No;;;;;10;10;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-27 12:55:00. 0;Investigación y estudio;Ocasionalmente;Si;10;No;;Si;10;Si;Si;Si;No;9;Publicaciones periódicas s.XIX. Publicaciones periódicas ss. XX y XXI;Si;9;9;7;10;10;10;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-27 12:56:00. 0;Investigación y estudio;Ocasionalmente;Si;7;No;;No;;No;Si;Si;Si;;Publicaciones periódicas ss. XX-XXI;No;;;;;10;10;10;9;10;De 18 a 29 años;Mejor de lo que esperaba
2022-10-28 19:25:00. 0;Interés personal;Varias veces al año;Si;10;No;;No;;No;No;No;No;;Publicaciones periódicas ss. XX-XXI;No;;;;;2;10;10;10;8;Más de 65 años;Igual de lo que esperaba
2022-11-00 19:00:00. 0;Investigación y estudio;Ocasionalmente;Si;10;Si;10;No;;;;;;;Publicaciones periódicas ss. XX-XXI;Si;10;9;9;;9;9;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-11-02 17:45:00. 0;Interés profesional;Ocasionalmente;Si;10;No;;No;;;;;;;Publicaciones periódicas ss.XX-XXI;No;;;;;8;10;10;10;10;De 45 a 64 años;Mejor de lo que esperaba
2022-11-02 17:47:00. 0;Investigación y estudio;Una vez al año;Si;10;Si;10;No;;Si;No;Si;No;10;Publicaciones ss. XVII-XVIII. Publicaciones periódicas s. XIX;Si;10;3;3;10;10;10;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-11-02 18:04:00. 0;Interés personal;Ocasionalmente;Si;10;Si;10;No;;Si;No;No;No;10;Publicaciones periódicas ss. XX-XXI;No;;;;;10;10;10;10;10;De 30 a 44 años;Mejor de lo que esperaba
2022-11-03 11:10:00. 0;Interés profesional;Varias veces al año;Si;9;Si;9;No;;No;No;No;No;;Publicaciones periódicas ss. XX-XXI;No;;;;;9;9;9;10;9;De 45 a 64 años;Mejor de lo que esperaba
2022-11-03 13:00:00. 0;Investigación y estudio;Ocasionalmente;Si;10;No;;No;;No;Si;Si;No;;Publicaciones periódicas ss. XX-XXI;Si;10;7;9;9;10;10;10;10;10;De 18 a 29 años;Mejor de lo que esperaba
2022-11-03 16:20:00. 0;Investigación y estudio;Varias veces al año;Si;8;No;;No;;;;;;;Publicaciones periódicas s. XIX;No;;;;;;9;9;9;9;Más de 65 años;Mejor de lo que esperaba
2022-11-03 18:50:00. 0;Investigación y estudio;Varios días al mes;Si;10;No;;Si;10;No;No;No;No;;Publicaciones periódicas ss. XX-XXI;Si;;;;;5;8;10;10;8;De 45 a 64 años;Igual de lo que esperaba
